Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
20,4.842872606610569,44.093697795591844,35.17277778521108,9.800000000000031e-3,0.00044119840361966136,"cx20_21: 9.323e-3 , cx20_19: 1.177e-2 "
21,4.779512554653171,60.61425964793472,88.94103869477532,1.3000000000000012e-2,0.00036082863807526786,"cx21_12: 1.767e-2 , cx21_22: 1.727e-2 , cx21_20: 9.323e-3 "
22,4.934838494424878,59.281910841981286,113.82486847748004,1.8299999999999983e-2,0.0004917139078753883,"cx22_21: 1.727e-2 , cx22_23: 1.561e-2 "
23,4.797157626794698,24.243531022829753,37.77683298044269,5.0000000000000044e-2,0.0008546273720543856,"cx23_26: 1.694e-2 , cx23_22: 1.561e-2 "
24,5.012294842668718,46.13974926250114,68.25235713142064,1.1800000000000033e-2,0.00043780528442031465,"cx24_29: 2.378e-2 , cx24_15: 9.517e-3 "
25,4.859484231376678,23.03412383560432,24.77294257471646,4.499999999999993e-2,0.0007643020063605342,"cx25_33: 2.043e-2 , cx25_19: 1.732e-2 "
26,4.720576704055109,61.18975877998028,86.12997449132828,2.3800000000000043e-2,0.0003336957947449653,"cx26_23: 1.694e-2 , cx26_37: 8.063e-3 "
27,4.79971267627377,32.77349816617716,34.06887036572659,3.180000000000005e-2,0.0004234286794672464,"cx27_38: 1.078e-2 , cx27_28: 1.846e-2 "
28,4.895833174079285,29.955351563545058,46.93992545805398,2.8100000000000014e-2,0.0007922454256614121,"cx28_29: 2.294e-2 , cx28_27: 1.846e-2 "
29,4.785717537620477,58.34059185803969,63.75842370796574,1.8799999999999928e-2,0.00047156697942340813,"cx29_24: 2.378e-2 , cx29_28: 2.294e-2 , cx29_30: 1.223e-2 "
30,4.890243975604357,59.183354970678764,51.430885069000865,7.000000000000006e-3,0.00035809665756332136,"cx30_31: 1.111e-2 , cx30_29: 1.223e-2 "
31,5.029861972917762,59.51120136776997,80.93743639350927,1.0699999999999932e-2,0.00032782878616985855,"cx31_30: 1.111e-2 , cx31_32: 1.433e-2 , cx31_39: 1.169e-2 "
32,4.898009308596541,44.424749228043844,82.40227660589778,3.079999999999994e-2,0.002520543385228247,"cx32_31: 1.433e-2 , cx32_33: 2.326e-2 "
33,4.646796668163117,45.03736460123475,69.30380431875584,6.519999999999992e-2,0.0005787322119978893,"cx33_32: 2.326e-2 , cx33_25: 2.043e-2 , cx33_34: 1.256e-2 "
34,4.780693281842683,70.30555022719156,141.4809150222871,1.429999999999998e-2,0.0003279051671722166,"cx34_35: 1.320e-2 , cx34_33: 1.256e-2 "
35,4.697402481408742,58.02694530382368,97.12286189074325,1.9000000000000017e-2,0.0002963205886511157,"cx35_34: 1.320e-2 , cx35_40: 1.075e-2 , cx35_36: 1.219e-2 "
36,4.970762969725889,60.359951422834165,86.30661946086447,1.550000000000007e-2,0.000999004144309372,"cx36_37: 2.374e-2 , cx36_35: 1.219e-2 "
37,4.810977893540177,53.44721692513599,91.79730748932963,2.190000000000003e-2,0.0003610817967266879,"cx37_26: 8.063e-3 , cx37_36: 2.374e-2 "
38,4.9700155820951615,69.9906141033822,80.13502645472792,5.2100000000000035e-2,0.00044701837216025653,"cx38_41: 1.173e-2 , cx38_27: 1.078e-2 "
39,4.79960364323829,64.20525849662958,29.948684400733118,1.2299999999999978e-2,0.00042248417222437825,"cx39_45: 1.609e-2 , cx39_31: 1.169e-2 "
40,4.544904095910791,76.9675446425755,105.24363396317892,2.8299999999999992e-2,0.00028069499858444404,"cx40_49: 1.237e-2 , cx40_35: 1.075e-2 "
41,4.801382610262278,73.34866782920197,98.67836384519771,5.459999999999998e-2,0.0005013702076490037,"cx41_38: 1.173e-2 , cx41_42: 1.720e-2 "
42,4.662962671447868,44.111002465193856,58.57397924054292,4.0000000000000036e-2,0.00046533243129983785,"cx42_41: 1.720e-2 , cx42_43: 1.587e-2 "
43,4.763548919476703,51.15202469432966,20.989653771698762,5.449999999999999e-2,0.0005316989180244694,"cx43_42: 1.587e-2 , cx43_44: 1.337e-2 , cx43_52: 1.531e-2 "
44,4.683108734499135,61.91307669092469,47.919405442556396,4.700000000000004e-2,0.0005865537061124713,"cx44_43: 1.337e-2 , cx44_45: 1.136e-2 "
45,4.930685363543236,76.61775333004468,107.2715655969572,3.6699999999999955e-2,0.00034489569403645706,"cx45_44: 1.136e-2 , cx45_39: 1.609e-2 , cx45_46: 1.764e-2 "
46,4.798983962094498,54.35444767711862,95.15162975305329,8.999999999999897e-3,0.0004032915086000014,"cx46_47: 1.087e-2 , cx46_45: 1.764e-2 "
47,4.885346819948624,53.66425958450711,39.494819760866584,1.3700000000000045e-2,0.0003122058813694792,"cx47_48: 9.198e-3 , cx47_53: 1.029e-2 , cx47_46: 1.087e-2 "
48,4.75769786797626,63.23439334576752,109.37787766767657,1.4399999999999968e-2,0.0002993845474921311,"cx48_47: 9.198e-3 , cx48_49: 8.321e-3 "
49,4.661069587789577,52.16592644846702,80.86916275578918,1.2699999999999934e-2,0.00038068701131884305,"cx49_40: 1.237e-2 , cx49_50: 1.176e-2 , cx49_48: 8.321e-3 "
50,4.782101951216976,67.25178058355628,102.79548485426942,2.3399999999999976e-2,0.00029651156165869314,"cx50_51: 1.083e-2 , cx50_49: 1.176e-2 "
51,4.887042058944968,67.06044809708506,93.01592461151357,2.749999999999997e-2,0.0007372999219486453,"cx51_50: 1.083e-2 , cx51_54: 2.050e-2 "
52,4.8988863839270325,35.83755257648923,55.42696723400421,2.6000000000000023e-2,0.0004497256435702564,"cx52_43: 1.531e-2 , cx52_56: 1.281e-2 "
53,4.6773599048023256,49.41163585907881,115.3752238992554,9.800000000000031e-3,0.0004417101621469547,"cx53_47: 1.029e-2 , cx53_60: 9.264e-3 "
54,4.702709061934953,73.3123483194995,111.87529276330149,1.33e-1,0.0023363467616243794,"cx54_64: 4.861e-2 , cx54_51: 2.050e-2 "
55,4.881454711010948,68.44771869368202,110.94027799792819,8.319999999999994e-2,0.00035316688592435495,"cx55_56: 1.742e-2 "
56,4.795403225461232,35.347275355927835,59.93657382497181,5.269999999999997e-2,0.0021256848569698493,"cx56_57: 2.712e-2 , cx56_55: 1.742e-2 , cx56_52: 1.281e-2 "
57,4.618162182908098,59.085473156665216,36.07620065791879,3.320000000000001e-2,0.001687893647826558,"cx57_56: 2.712e-2 , cx57_58: 1.255e-2 "
58,4.784336522209021,63.27376943575692,109.1139944904911,5.4400000000000004e-2,0.0003260296505294914,"cx58_57: 1.255e-2 , cx58_59: 1.175e-2 "
59,4.92455275249974,80.88412391902828,114.71214594145508,3.749999999999998e-2,0.0005983420899447486,"cx59_60: 1.196e-2 , cx59_58: 1.175e-2 "
60,4.777013122369692,66.43907491530251,93.16284808076252,2.8100000000000014e-2,0.00037119364686579256,"cx60_53: 9.264e-3 , cx60_59: 1.196e-2 , cx60_61: 1.599e-2 "
61,4.6412859025876045,51.53072754394782,70.05264928137315,3.420000000000001e-2,0.00037125904129178713,"cx61_62: 2.738e-2 , cx61_60: 1.599e-2 "
62,4.825537385124633,45.54614347781442,23.77149851215479,3.53e-2,0.0006125195529944444,"cx62_61: 2.738e-2 , cx62_63: 2.035e-2 "
63,4.6979428652449915,10.906174307125076,18.682660273852317,5.190000000000006e-2,0.0011470185585871011,"cx63_62: 2.035e-2 , cx63_64: 2.529e-2 "
64,4.832132556845125,57.79448125308925,38.116257628182446,2.740000000000009e-2,0.00035928226858858187,"cx64_54: 4.861e-2 , cx64_63: 2.529e-2 "
